source_1,source_2,axe,description,criticite
MATH531_CM8-Exam_TiersTps,MATH531_IDU,normalisation_codes,Le module 'MATH531' est nommé 'MATH531_CM8-Exam_TiersTps' dans ADE au lieu de 'MATH531_IDU_CM8-Exam_TiersTps' (forme cohérente avec la maquette),majeur
INFO831_INGE_CM,INFO831_IDU,normalisation_codes,Le module 'INFO831' est nommé 'INFO831_INGE_CM' dans ADE au lieu de 'INFO831_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
INFO501_ET_SNI-IDU_tier_tps,INFO501_IDU,normalisation_codes,Le module 'INFO501' est nommé 'INFO501_ET_SNI-IDU_tier_tps' dans ADE au lieu de 'INFO501_IDU_ET_SNI-IDU_tier_tps' (forme cohérente avec la maquette),majeur
PROJ832_INGE_CM,PROJ832_IDU,normalisation_codes,Le module 'PROJ832' est nommé 'PROJ832_INGE_CM' dans ADE au lieu de 'PROJ832_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
INFO631_INGE_CM,INFO631_IDU,normalisation_codes,Le module 'INFO631' est nommé 'INFO631_INGE_CM' dans ADE au lieu de 'INFO631_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
DATA931_CM,DATA931_IDU,normalisation_codes,Le module 'DATA931' est nommé 'DATA931_CM' dans ADE au lieu de 'DATA931_IDU_CM' (forme cohérente avec la maquette),majeur
INFO502_TPG1,INFO502_IDU,normalisation_codes,Le module 'INFO502' est nommé 'INFO502_TPG1' dans ADE au lieu de 'INFO502_IDU_TPG1' (forme cohérente avec la maquette),majeur
INFO501_ET_SNI-IDU,INFO501_IDU,normalisation_codes,Le module 'INFO501' est nommé 'INFO501_ET_SNI-IDU' dans ADE au lieu de 'INFO501_IDU_ET_SNI-IDU' (forme cohérente avec la maquette),majeur
PROJ832_INGE_Projet,PROJ832_IDU,normalisation_codes,Le module 'PROJ832' est nommé 'PROJ832_INGE_Projet' dans ADE au lieu de 'PROJ832_IDU_INGE_Projet' (forme cohérente avec la maquette),majeur
INFO633_A01_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A01_G1' dans ADE au lieu de 'INFO633_IDU_A01_G1' (forme cohérente avec la maquette),majeur
ISOC531_TDG,ISOC531_IDU,normalisation_codes,Le module 'ISOC531' est nommé 'ISOC531_TDG' dans ADE au lieu de 'ISOC531_IDU_TDG' (forme cohérente avec la maquette),majeur
INFO832_INGE_CM,INFO832_IDU,normalisation_codes,Le module 'INFO832' est nommé 'INFO832_INGE_CM' dans ADE au lieu de 'INFO832_IDU_INGE_CM' (forme cohérente avec la maquette),majeur
INFO633_CC2_Tiers-temps,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_CC2_Tiers-temps' dans ADE au lieu de 'INFO633_IDU_CC2_Tiers-temps' (forme cohérente avec la maquette),majeur
INFO502_Ex_session2_tier_tps,INFO502_IDU,normalisation_codes,Le module 'INFO502' est nommé 'INFO502_Ex_session2_tier_tps' dans ADE au lieu de 'INFO502_IDU_Ex_session2_tier_tps' (forme cohérente avec la maquette),majeur
INFO633_P02_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_P02_G1' dans ADE au lieu de 'INFO633_IDU_P02_G1' (forme cohérente avec la maquette),majeur
INFO502_TDG,INFO502_IDU,normalisation_codes,Le module 'INFO502' est nommé 'INFO502_TDG' dans ADE au lieu de 'INFO502_IDU_TDG' (forme cohérente avec la maquette),majeur
CM INFO932,INFO932_IDU,normalisation_codes,Le module 'INFO932' est nommé 'CM INFO932' dans ADE au lieu de 'CM INFO932_IDU' (forme cohérente avec la maquette),majeur
INFO633_A05_G2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A05_G2' dans ADE au lieu de 'INFO633_IDU_A05_G2' (forme cohérente avec la maquette),majeur
INFO633_A15_G1,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_A15_G1' dans ADE au lieu de 'INFO633_IDU_A15_G1' (forme cohérente avec la maquette),majeur
INFO633_CC2,INFO633_IDU,normalisation_codes,Le module 'INFO633' est nommé 'INFO633_CC2' dans ADE au lieu de 'INFO633_IDU_CC2' (forme cohérente avec la maquette),majeur
DATA931_TD,DATA931_IDU,normalisation_codes,Le module 'DATA931' est nommé 'DATA931_TD' dans ADE au lieu de 'DATA931_IDU_TD' (forme cohérente avec la maquette),majeur
ISOC531_CM,ISOC531_IDU,normalisation_codes,Le module 'ISOC531' est nommé 'ISOC531_CM' dans ADE au lieu de 'ISOC531_IDU_CM' (forme cohérente avec la maquette),majeur
DATA831_INGE_TDTP,DATA831_IDU,normalisation_codes,Le module 'DATA831' est nommé 'DATA831_INGE_TDTP' dans ADE au lieu de 'DATA831_IDU_INGE_TDTP' (forme cohérente avec la maquette),majeur
INFO501_TPPG,INFO501_IDU,normalisation_codes,Le module 'INFO501' est nommé 'INFO501_TPPG' dans ADE au lieu de 'INFO501_IDU_TPPG' (forme cohérente avec la maquette),majeur
INFO502_Ex_Tiers_Temps,INFO502_IDU,normalisation_codes,Le module 'INFO502' est nommé 'INFO502_Ex_Tiers_Temps' dans ADE au lieu de 'INFO502_IDU_Ex_Tiers_Temps' (forme cohérente avec la maquette),majeur
